easting,northing,longitude,latitude,domain_no,domainname,domaintype
1240535.97641,5103986.23231,168.506862221,-44.128901156,24,western Fiordland Margin - Caswell High,Contractional
1240506.85193,5103952.48966,168.506476279,-44.1291897124,24,western Fiordland Margin - Caswell High,Contractional
1237785.11049,5100741.74269,168.470353012,-44.1566647974,24,western Fiordland Margin - Caswell High,Contractional
1231260.23868,5096898.86933,168.386322934,-44.1878900788,24,western Fiordland Margin - Caswell High,Contractional
1231224.07052,5096877.15474,168.385856617,-44.1880666875,24,western Fiordland Margin - Caswell High,Contractional
1231188.27392,5096854.83294,168.385394506,-44.1882489309,24,western Fiordland Margin - Caswell High,Contractional
1231152.85906,5096831.9103,168.384936732,-44.1884367569,24,western Fiordland Margin - Caswell High,Contractional
1231117.83604,5096808.39334,168.384483425,-44.1886301123,24,western Fiordland Margin - Caswell High,Contractional
1231083.21483,5096784.28876,168.384034713,-44.1888289419,24,western Fiordland Margin - Caswell High,Contractional
1231049.00529,5096759.60341,168.383590726,-44.1890331893,24,western Fiordland Margin - Caswell High,Contractional
1231015.21715,5096734.34434,168.383151588,-44.1892427963,24,western Fiordland Margin - Caswell High,Contractional
1230981.86003,5096708.51873,168.382717425,-44.1894577033,24,western Fiordland Margin - Caswell High,Contractional
1230948.94345,5096682.13393,168.382288361,-44.1896778491,24,western Fiordland Margin - Caswell High,Contractional
1230916.47676,5096655.19746,168.381864518,-44.1899031712,24,western Fiordland Margin - Caswell High,Contractional
1230884.46921,5096627.71699,168.381446016,-44.1901336054,24,western Fiordland Margin - Caswell High,Contractional
1230852.92992,5096599.70035,168.381032974,-44.1903690862,24,western Fiordland Margin - Caswell High,Contractional
1230821.86787,5096571.1555,168.38062551,-44.1906095465,24,western Fiordland Margin - Caswell High,Contractional
1230791.2919,5096542.09058,168.38022374,-44.190854918,24,western Fiordland Margin - Caswell High,Contractional
1230761.21072,5096512.51387,168.379827779,-44.1911051308,24,western Fiordland Margin - Caswell High,Contractional
1230731.63289,5096482.43379,168.379437738,-44.1913601139,24,western Fiordland Margin - Caswell High,Contractional
1230702.56684,5096451.8589,168.379053729,-44.1916197945,24,western Fiordland Margin - Caswell High,Contractional
1229185.23564,5094828.55166,168.358983484,-44.20541803,24,western Fiordland Margin - Caswell High,Contractional
1225023.9337,5091689.43158,168.304831327,-44.2314597396,24,western Fiordland Margin - Caswell High,Contractional
1224990.44706,5091663.72411,168.304395048,-44.2316731944,24,western Fiordland Margin - Caswell High,Contractional
1224957.39929,5091637.45484,168.30396384,-44.2318919138,24,western Fiordland Margin - Caswell High,Contractional
1224924.79982,5091610.63128,168.303537828,-44.2321158357,24,western Fiordland Margin - Caswell High,Contractional
1224892.65793,5091583.26106,168.303117132,-44.2323448961,24,western Fiordland Margin - Caswell High,Contractional
1224860.9828,5091555.35201,168.302701872,-44.2325790298,24,western Fiordland Margin - Caswell High,Contractional
1224829.78346,5091526.91206,168.302292167,-44.2328181702,24,western Fiordland Margin - Caswell High,Contractional
1224799.06881,5091497.94934,168.301888134,-44.2330622491,24,western Fiordland Margin - Caswell High,Contractional
1224768.84759,5091468.4721,168.301489887,-44.2333111969,24,western Fiordland Margin - Caswell High,Contractional
1224739.12844,5091438.48875,168.30109754,-44.2335649427,24,western Fiordland Margin - Caswell High,Contractional
1224709.91983,5091408.00784,168.300711206,-44.2338234142,24,western Fiordland Margin - Caswell High,Contractional
1224681.23008,5091377.03806,168.300330993,-44.2340865379,24,western Fiordland Margin - Caswell High,Contractional
