Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,,BH,CPT,Bedrock?,Liquefiable?,Soft Soils?,DH,XH,SW,HVSR,Gravity,Reflection,Other,
092A,-39.80125729,175.8073829,323,D,293,0.3785,Q3,Foster et al. (2019) & Perrin et al. (2015),0.8,0.3,Q3,I,McVerry (2011),73,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
096A,-39.03374495,177.4235057,20,E,155,0.1,Q2,Barker 1994,1.5,0.3,Q3,I,Cousins et al. (1996),98,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),8725,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
099B,-38.37243369,178.2977186,4,D,206,0.206,Q3,Foster et al. (2019) & Perrin et al. (2015),1.1,0.3,Q3,Mw,Unpub HVSR (Van Houtte),113,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),8925,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
102A,-39.4637497,175.5668812,701,C,388,0.252,Q3,Foster et al. (2019) & Perrin et al. (2015),0.15,0.3,Q3,I,Cousins et al. (1996),44,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1025,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
103A,-42.33380591,172.1806264,435,C,465,0.2,Q3,McVerry (2011),0.23,0.3,Q3,I,Unpub HVSR (Van Houtte),58,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
110C,-39.79495716,175.809683,320,D,343,0.374,Q3,Foster et al. (2019) & Perrin et al. (2015),0.8,0.3,Q3,I,Kaiser et al. 2017,68,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
112A,-43.13252461,171.7693172,655,C,275,0.2805,Q3,Foster et al. (2019) & Perrin et al. (2015),0.36,0.3,Q3,I,McVerry (2011),53,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
112B,-43.13252461,171.7693172,655,C,275,0.2805,Q3,Foster et al. (2019) & Perrin et al. (2015),0.36,0.3,Q3,I,McVerry (2011),53,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
113A,-37.87352279,177.5847115,29,C,522,0.2,Q3,McVerry (2011),0.15,0.3,Q3,I,McVerry (2011),33,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
114A,-40.18046453,175.4304768,99,D,387,0.2,Q3,McVerry (2011),1,0.3,Q3,I,McVerry (2011),83,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
